,file,uniqueID,blur,entropy
0,data/input/things/chicken_wire.jpg,chicken_wire,6.0,4.2520695
0,data/input/things/chicken_wire.jpg,chicken_wire,7.0,4.505824
0,data/input/things/chicken_wire.jpg,chicken_wire,8.0,4.695713
0,data/input/things/chime.jpg,chime,1.0,3.4067352
0,data/input/things/chime.jpg,chime,2.0,3.4510126
0,data/input/things/chime.jpg,chime,3.0,3.6991763
0,data/input/things/chime.jpg,chime,4.0,4.1725907
0,data/input/things/chime.jpg,chime,5.0,4.3079815
0,data/input/things/chime.jpg,chime,6.0,4.2071867
0,data/input/things/chime.jpg,chime,7.0,4.326814
0,data/input/things/chime.jpg,chime,8.0,4.4962115
0,data/input/things/chimney.jpg,chimney,1.0,1.4930182
0,data/input/things/chimney.jpg,chimney,2.0,2.2571177
0,data/input/things/chimney.jpg,chimney,3.0,1.9627635
0,data/input/things/chimney.jpg,chimney,4.0,3.1492476
0,data/input/things/chimney.jpg,chimney,5.0,3.5575588
0,data/input/things/chimney.jpg,chimney,6.0,3.3904278
0,data/input/things/chimney.jpg,chimney,7.0,4.305604
0,data/input/things/chimney.jpg,chimney,8.0,4.7168765
0,data/input/things/chip.jpg,chip,1.0,3.7762847
0,data/input/things/chip.jpg,chip,2.0,3.9599872
0,data/input/things/chip.jpg,chip,3.0,4.2389145
0,data/input/things/chip.jpg,chip,4.0,4.128118
0,data/input/things/chip.jpg,chip,5.0,4.388488
0,data/input/things/chip.jpg,chip,6.0,4.829136
0,data/input/things/chip.jpg,chip,7.0,4.7017593
0,data/input/things/chip.jpg,chip,8.0,4.552117
0,data/input/things/chopsticks.jpg,chopsticks,1.0,4.0231657
0,data/input/things/chopsticks.jpg,chopsticks,2.0,3.9945524
0,data/input/things/chopsticks.jpg,chopsticks,3.0,4.0601354
0,data/input/things/chopsticks.jpg,chopsticks,4.0,4.706563
0,data/input/things/chopsticks.jpg,chopsticks,5.0,4.709445
0,data/input/things/chopsticks.jpg,chopsticks,6.0,4.811834
0,data/input/things/chopsticks.jpg,chopsticks,7.0,4.6452026
0,data/input/things/chopsticks.jpg,chopsticks,8.0,4.5880933
0,data/input/things/chute.jpg,chute,1.0,2.9915042
0,data/input/things/chute.jpg,chute,2.0,3.8666294
0,data/input/things/chute.jpg,chute,3.0,4.2441454
0,data/input/things/chute.jpg,chute,4.0,4.412071
0,data/input/things/chute.jpg,chute,5.0,4.7650313
0,data/input/things/chute.jpg,chute,6.0,4.9249377
0,data/input/things/chute.jpg,chute,7.0,4.912222
0,data/input/things/chute.jpg,chute,8.0,4.9208155
0,data/input/things/clam.jpg,clam,1.0,1.7570641
0,data/input/things/clam.jpg,clam,2.0,2.4057803
